country,year,death_rate,assault_rate_per_100k,homicide_rate_per_100k,country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power,country,year,early_leavers_percentage,tertiary_attainment_percentage,country,year,life_expectancy,healthy_expectancy_2004_2021,country,year,emigration,immigration,country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
ES,2015,0.58,62.55,0.65,ES,2015,18.2,18045,14.8,23090,16691,14463,25100,ES,2015,20,41.0,ES,2015,83,64,ES,2015,343875,342114,ES,2015,7.4,1.5,28.7,22.1,ES,2015,20844.88,62,7.63,13.1
ES,2016,0.57,37.32,0.63,ES,2016,18.4,18417,16.6,23780,17771,15347,25900,ES,2016,19,41.0,ES,2016,83.5,66.2,ES,2016,327325,414746,ES,2016,8.5,1.7,28.8,22.3,ES,2016,20827.52,63.9,7.25,13.1
ES,2017,0.64,38.87,0.66,ES,2017,18.5,19107,9.5,24440,17917,15526,27200,ES,2017,18.3,42.6,ES,2017,83.4,69.4,ES,2017,368860,532132,ES,2017,8.3,1,27.5,21.6,ES,2017,20948.65,65.5,7.18,13.1
ES,2018,0.55,39.2,0.62,ES,2018,19.1,19354,10.4,24890,18363,16030,27600,ES,2018,17.9,44.3,ES,2018,83.5,68,ES,2018,309526,643684,ES,2018,8.7,1.5,27.3,21.5,ES,2018,21198.42,67,6.46,12.9
ES,2019,0.58,42.73,0.71,ES,2019,19.3,20260,7.8,25180,18618,16171,28500,ES,2019,17.3,46.5,ES,2019,84,69.9,ES,2019,296248,750480,ES,2019,7.7,1.7,26.2,20.7,ES,2019,21481.84,68,6.35,12.7
ES,2020,0.59,33.81,0.63,ES,2020,19.5,19441,10,22250,18813,16661,24900,ES,2020,16,47.4,ES,2020,82.4,66.3,ES,2020,248561,467918,ES,2020,8.5,3.4,27,21,ES,2020,20632.83,65.7,5.99,11.8
FI,2015,1.31,28.56,2.12,FI,2015,24.2,22591,2.5,34460,21455,19430,30500,FI,2015,9.2,40.2,FI,2015,81.6,57.8,FI,2015,16305,28746,FI,2015,1,0.7,16.9,12.4,FI,2015,29918.29,71.8,3.63,3.5
FI,2016,1.17,29.01,1.75,FI,2016,24.2,22844,2.3,35330,22304,19997,31200,FI,2016,7.9,40.7,FI,2016,81.5,58.1,FI,2016,18082,34905,FI,2016,1.2,0.7,16.5,11.6,FI,2016,30306.38,72.4,3.68,3.1
FI,2017,1.11,28.73,1.34,FI,2017,24.4,23501,2.3,36380,22061,19827,32700,FI,2017,8.2,40.3,FI,2017,81.7,57.4,FI,2017,16973,31797,FI,2017,1.8,0.7,16,11.5,FI,2017,30805.85,73.2,3.64,2.7
FI,2018,1.22,29.18,1.72,FI,2018,24,24181,2.3,36740,22371,20048,33600,FI,2018,8.3,40.3,FI,2018,81.8,57.4,FI,2018,19141,31106,FI,2018,2.2,0.9,16.6,12,FI,2018,31400.22,75.3,3.78,3.1
FI,2019,1.15,28.71,1.5,FI,2019,23.8,24665,2.1,37150,22965,20362,34200,FI,2019,7.3,42.0,FI,2019,82.1,56.4,FI,2019,17263,32758,FI,2019,1.9,0.9,14.5,11.6,FI,2019,32135.14,76.2,3.8,2.9
FI,2020,1.31,31.74,1.72,FI,2020,23.7,25052,2.5,36220,22831,20290,34300,FI,2020,8.2,43.8,FI,2020,82,56.9,FI,2020,15084,32898,FI,2020,1.8,1,14.9,12.2,FI,2020,33191.98,75.5,3.83,3.1
FR,2015,0.51,364.25,1.32,FR,2015,22.6,23354,4.6,31540,23196,19885,29400,FR,2015,9.2,44.8,FR,2015,82.4,63.6,FR,2015,324517,364221,FR,2015,6.8,2.3,18.4,13.6,FR,2015,26958.75,70.3,4.22,7.5
FR,2016,0.47,399.97,1.17,FR,2016,22.6,23749,4.2,31770,24006,20621,29800,FR,2016,8.8,44.2,FR,2016,82.7,63.4,FR,2016,313622,377709,FR,2016,6.7,2.7,18.7,13.6,FR,2016,26880.7,70.7,4.27,7.9
FR,2017,0.43,415.49,1.06,FR,2017,22.7,24162,4.1,32360,23441,20357,30500,FR,2017,8.8,44.5,FR,2017,82.7,63.7,FR,2017,215470,369621,FR,2017,6.3,2.1,17.8,13.2,FR,2017,27022.48,71.3,4.34,7.3
FR,2018,0.67,447.15,1.04,FR,2018,22.9,24603,4.5,32800,23097,20223,31400,FR,2018,8.7,47.0,FR,2018,82.8,63.9,FR,2018,300668,387158,FR,2018,6.7,2.7,17.9,13.4,FR,2018,27662.94,72,4.25,7.1
FR,2019,0.73,479.29,1.12,FR,2019,22.7,25531,3.7,33250,23782,20471,33100,FR,2019,8.2,48.2,FR,2019,83,64.1,FR,2019,299101,385591,FR,2019,7.3,2.3,18.8,13.6,FR,2019,28153.77,72.3,4.31,7.4
FR,2020,0.73,470.34,1.03,FR,2020,22.3,26047,6.5,30630,22374,19518,31400,FR,2020,8,49.4,FR,2020,82.3,64.6,FR,2020,144797,283237,FR,2020,7,3.8,19.3,14.2,FR,2020,27466.98,72.1,4.65,7.4
HR,2015,0.9,19.03,0.88,HR,2015,20.3,12074,22.7,10810,9186,8253,16800,HR,2015,2.8,30.8,HR,2015,77.5,56.1,HR,2015,29651,11706,HR,2015,8.4,7.3,24.4,20,HR,2015,8296.67,60.6,5.21,5.9
HR,2016,1.23,18.85,1.05,HR,2016,20.9,12724,20.4,11290,9944,8985,17600,HR,2016,2.8,32.8,HR,2016,78.2,57.9,HR,2016,36436,13985,HR,2016,7.3,7.1,23.5,19.5,HR,2016,8443.99,61.4,5,5.6
HR,2017,1.21,19.21,1.11,HR,2017,20.8,13298,15.5,11800,10418,9444,18700,HR,2017,3.1,32.7,HR,2017,78,57.6,HR,2017,47352,15553,HR,2017,7.1,6.5,23.7,20,HR,2017,8788.64,63.6,5,5.8
HR,2018,0.56,17.85,0.58,HR,2018,20.9,13910,14.1,12250,10926,9870,19600,HR,2018,3.3,35.4,HR,2018,78.2,57.5,HR,2018,39515,26029,HR,2018,6.1,6.2,22.1,19.3,HR,2018,9168.35,65.2,4.94,5.2
HR,2019,0.83,18.06,0.81,HR,2019,21.3,14546,11.9,12740,11884,10734,20900,HR,2019,3,35.5,HR,2019,78.6,57.4,HR,2019,40148,37726,HR,2019,4.6,5.9,20.8,18.3,HR,2019,9428.49,66.7,4.68,5.1
HR,2020,0.97,18.31,0.99,HR,2020,21.8,14880,11.1,11700,12145,11090,19500,HR,2020,2.2,36.6,HR,2020,77.8,58.5,HR,2020,34046,33414,HR,2020,4.4,5.1,20.5,18.3,HR,2020,9815.98,66.9,4.42,5.1
HU,2015,1.27,126.55,2.05,HU,2015,22.4,13163,19.1,11220,8978,7919,19300,HU,2015,11.6,32.1,HU,2015,75.7,59.1,HU,2015,43225,58344,HU,2015,24.1,15.5,30.6,14.9,HU,2015,6703.57,70.9,4.57,9.3
IE,2015,0.46,75.17,0.64,IE,2015,21.6,18808,14.9,49420,20216,17656,49800,IE,2015,6.8,54.0,IE,2015,81.5,67.2,IE,2015,67160,80792,IE,2015,9.4,1.2,25.4,16.2,IE,2015,32344.52,69.8,4.58,4.9
IE,2016,0.52,76.97,0.72,IE,2016,21.6,19255,12.2,49730,20880,18397,49700,IE,2016,6,54.3,IE,2016,81.7,68.5,IE,2016,62056,85185,IE,2016,8,1,23.8,16.8,IE,2016,33346.95,71.3,4.56,5.1
IE,2017,0.36,85.72,0.82,IE,2017,21.3,19959,8.7,53750,21481,18198,53700,IE,2017,5,54.7,IE,2017,82.2,68.6,IE,2017,64068,78499,IE,2017,6.9,0.7,22.4,15.6,IE,2017,33976.58,72.9,4.76,5.1
IE,2018,0.45,94.11,0.81,IE,2018,22.3,20398,7.2,57610,22362,19464,57700,IE,2018,5,56.2,IE,2018,82.2,69.4,IE,2018,53735,97712,IE,2018,6.1,0.8,20.8,14.9,IE,2018,35126.52,74,4.32,4.8
IE,2019,0.28,102.79,0.67,IE,2019,22.8,20963,7.5,59840,22994,19775,59200,IE,2019,5.1,55.4,IE,2019,82.8,69.6,IE,2019,62004,85630,IE,2019,7.1,1.1,20.4,13.1,IE,2019,36198.8,75,4.05,4.3
IE,2020,0.15,85.59,0.66,IE,2020,22.7,21408,6.1,63120,22625,19714,62100,IE,2020,5,58.4,IE,2020,82.6,66.2,IE,2020,55942,74211,IE,2020,5.7,1.4,20.1,13.8,IE,2020,37199.12,72.1,4.06,6
IT,2015,0.57,107.03,0.77,IT,2015,19.7,20294,15.4,25860,17380,15395,26700,IT,2015,14.7,25.2,IT,2015,82.7,62.6,IT,2015,146955,280078,IT,2015,12.1,9.6,28.4,19.9,IT,2015,21051.62,60.2,6.32,11.5
IT,2016,0.51,105.72,0.67,IT,2016,19.1,20864,10.9,26240,18275,16237,28000,IT,2016,13.8,25.6,IT,2016,83.4,67.4,IT,2016,157065,300823,IT,2016,10.1,7.6,27.8,20.6,IT,2016,21092.75,61.4,6.85,11.7
IT,2017,0.48,108.77,0.62,IT,2017,19.5,21429,8.6,26730,18691,16522,28800,IT,2017,14,26.9,IT,2017,83.1,66.3,IT,2017,155110,343440,IT,2017,6.6,5.5,25.9,20.3,IT,2017,21138.65,62.3,6.34,12.2
