country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,employment_rate,income_inequality_ratio,work_poverty_risk_percentage,early_leavers_percentage,bottom_40_income_share,inability_make_ends_meet_percentage,mean_income,median_income,death_rate,homicide_rate_per_100k
LT,2019,9.7,7.8,25.5,20.6,78.2,6.62,7.9,4,18.2,3,14054,11509,2.2,3.01
LT,2020,8.1,5.4,24.5,20.9,76.7,6.17,8,5.6,18.7,3,15293,12546,2.47,3.54
LU,2015,2.5,1.7,18.4,15.3,70.9,4.35,11.6,9.3,22.4,4.2,32969,29285,0.94,0.89
LU,2016,2,2.1,19.1,15.8,70.7,4.59,10.9,5.5,21.7,4.2,31903,27834,0.45,0.87
LU,2017,1.9,2.3,19.3,16.4,71.5,4.57,10.8,7.3,21.7,5.1,33484,29596,0.15,0.34
LU,2018,1.6,2.2,20.1,16.7,72.1,5.2,11.5,6.3,20.6,4.7,32003,27529,0.44,0.5
LU,2019,1.4,2,20.1,17.5,72.8,5.44,12.1,7.2,20.4,3.7,34089,28943,0.69,0.65
LU,2020,1.7,1.6,19.9,17.4,72.1,5.07,11.9,8.2,20.6,3.8,33103,28675,0.3,0.32
LV,2015,15.4,15.5,30,22.5,72.5,6.93,9.2,9.9,18.1,15.4,9676,8092,5.14,4.08
LV,2016,12.6,14.6,28.2,21.8,73,6.23,8.3,10,18.6,12.4,10947,9257,4.54,5.64
LV,2017,12.9,15.2,28.5,22.1,74.6,6.29,8.8,8.6,18.3,13.5,10961,9248,3.76,5.59
LV,2018,10.4,14.9,28.4,23.3,76.8,6.68,8.1,8.3,17.9,10.3,11953,10031,3.84,5.22
LV,2019,7.5,12.7,26.7,22.9,77.3,6.12,8.5,8.7,18.3,7.8,13135,11031,3.32,4.74
LV,2020,7,11.5,25.1,21.6,76.9,6.06,8.2,7.2,18.8,7.2,13377,11339,3.5,4.88
MT,2015,8.2,1.3,22.2,16.6,69,4.23,5.5,16.3,22.3,7.3,18758,16753,0.69,0.93
MT,2016,5.2,1.6,20.2,16.5,71.1,4.29,5.9,15.6,22.2,6.7,19656,17264,0.8,1.11
MT,2017,4.3,1.4,19.4,16.7,73,4.25,5.7,14,22.3,4.6,20198,17899,1.6,1.96
MT,2018,4.7,1.2,19.2,16.8,75.5,4.41,6.4,14,22.1,3.9,20319,17932,1.63,1.26
MT,2019,5,1.3,20.7,17.1,76.8,4.26,6.5,13.9,22.3,3.1,20879,18588,0.52,0.81
MT,2020,5.1,1,19.9,16.9,77.3,4.79,7.4,12.6,21.6,4.9,21999,18756,0.98,1.17
NL,2015,3.2,1,16.4,11.6,77.2,4,5,8.2,23.7,3.3,21785,19387,0.65,0.71
NL,2016,2.6,1.4,16.3,12.7,77.9,4.12,5.6,8,23.3,3,23642,21189,0.62,0.64
NL,2017,2.6,1,16.6,13.2,78.9,4.2,6.1,7.1,23.2,3.2,23704,21195,0.78,0.92
NL,2018,2.6,1.3,16.5,13.3,80,4.28,6.1,7.3,23.1,2.2,24067,21528,0.6,0.69
NL,2019,2.8,1.5,16.5,13.2,81,4.11,5.5,7.5,23.4,2.9,24413,21968,0.64,0.72
NL,2020,2.2,1.5,16,13.4,80.8,4.4,5.6,7,22.9,1.8,25114,22117,0.61,0.7
PL,2015,7.8,9.8,22.5,17.6,66.3,5.23,11.2,5.3,21.1,10.2,11419,9950,0.78,0.76
PL,2016,5.4,9.4,20.6,17.3,68.2,5.05,10.8,5.2,21.3,8.4,12297,10865,0.76,0.67
PL,2017,5.3,9.8,18.7,15,70,4.78,9.9,5,22.1,6.8,12691,11079,0.7,0.73
PL,2018,4.5,8.6,18.2,14.8,71.4,4.43,9.7,4.8,22.6,5.3,12850,11513,0.54,0.7
PL,2019,3.5,7.9,17.9,15.4,72.3,4.52,9.7,5.2,22.3,4.5,13889,12335,0.67,0.54
PT,2015,10.9,4.7,26.4,19.5,67.9,6.35,10.9,13.7,19.4,20.6,12226,10317,1.01,0.96
PT,2016,9.1,4.9,24.9,19,69.5,6.02,10.9,14,19.4,17,12994,10805,0.78,0.64
PT,2017,8,4,23.4,18.3,72.5,5.88,10.8,12.6,19.9,15.2,12964,10826,0.69,0.74
PT,2018,6.6,4.1,21.6,17.3,74.7,5.22,9.7,11.8,20.5,13.3,12785,10801,0.76,0.79
PT,2019,5.6,4.1,21.1,17.2,75.5,5.14,10.8,10.6,20.7,11.1,13642,11602,0.85,0.71
PT,2020,5.4,3.9,20,16.2,74.2,4.99,9.5,8.9,21,9,14498,12333,0.8,0.79
RO,2015,34,19.8,44.5,25.4,59.2,8.79,18.8,19.1,16.8,20.2,5033,4357,1.6,1.46
RO,2016,35.9,19.8,46,25.3,60.3,8.03,18.9,18.5,17.5,18.1,5299,4724,1.56,1.25
RO,2017,32.4,17.2,42.5,23.6,62.7,7.04,17.4,18.1,18.6,14.7,5928,5314,1.47,1.3
RO,2018,28.3,16.1,38.7,23.5,63.9,8.05,15.3,16.4,17.6,13.4,7311,6278,1.43,1.37
RO,2019,24.5,14.2,36.1,23.8,65.1,7.82,15.7,15.3,17.8,12.4,8420,7338,1.45,1.31
RO,2020,25.3,14.3,35.6,23.4,65.2,7.21,14.9,15.6,18.3,14.8,8771,7724,1.47,1.32
SE,2015,1.1,2.6,18.2,16.3,79.9,4.25,8,7,22.9,3.2,21677,20154,0.99,1.15
SE,2016,0.7,2.7,17.7,16.2,80.6,4.34,6.7,7.4,22.6,3.1,22772,20955,0.94,1.08
SE,2017,1,2.5,17.2,15.8,81.2,4.4,6.9,7.7,22.5,2.9,22242,20237,1.06,1.13
SE,2018,1.4,2.9,17.7,16.4,81.8,4.31,7,7.5,22.8,3.5,22143,20414,1.03,1.07
SE,2019,1.5,2.6,18.4,17.1,81.5,4.52,7.8,6.5,22.4,3.3,21983,20413,1.04,1.09
SE,2020,2,2.5,17.7,16.1,80.1,4.3,7.8,7.7,22.8,3.6,21666,20083,1.26,1.2
SI,2015,4.8,5.6,17.7,14.3,68.6,3.59,6.7,5,24.4,9.1,16180,15102,0.75,0.97
SI,2016,4.1,4.5,16.9,13.9,69.5,3.54,6.1,4.9,24.4,8,16320,15250,0.69,0.48
SI,2017,4.5,4.4,16.6,13.3,72.9,3.41,6.6,4.3,24.8,6.5,16289,15245,1.08,0.92
SI,2018,3.2,4.8,15.4,13.3,74.9,3.32,6,4.2,25,5.6,16823,15771,0.7,0.44
SI,2019,2.2,3.9,13.7,12,75.9,3.34,4.5,4.6,24.9,4.1,18016,16633,0.41,0.67
SI,2020,2.6,3.1,14.3,12.4,74.8,3.28,5,4.1,25,4.7,18209,16988,0.73,0.52
SK,2015,8.4,4.2,17.3,12.3,69.6,3.78,6,6.9,24.8,11.7,10755,10220,0.84,0.89
SK,2016,7.6,4.3,17.1,12.7,71.8,3.9,6.5,7.4,24.5,10.1,11129,10466,0.74,1.11
SK,2017,6.3,5.2,15.8,12.4,73.2,3.72,6.3,9.3,25,8.1,10017,9605,0.48,1.47
SK,2018,5.4,3.7,15.2,12.2,74.5,3.18,6,8.6,26.2,8.4,10277,9744,0.58,1.23
SK,2019,5.9,3.6,14.8,11.9,75.6,3.52,4.4,8.3,25.1,9.4,11026,10503,0.58,1.39
SK,2020,4.5,3.2,13.8,11.4,74.6,3.16,5.2,7.6,26.1,8.6,10423,10076,0.59,1.15
