country,year,emigration,immigration
EE,2008,4406,3671
EE,2009,4658,3884
EE,2010,5294,2810
EE,2011,6214,3709
EE,2012,6321,2639
EE,2013,6740,4109
EE,2014,4637,3904
EE,2015,13003,15413
EE,2016,13792,14822
EE,2017,12358,17616
EE,2018,10476,17547
EE,2019,12801,18259
EE,2020,12427,16209
EE,2021,12481,19524
EL,1991,64628,151978
EL,1992,52389,110334
EL,1993,52929,107462
EL,1994,46813,86959
EL,1995,47967,98989
EL,1996,54628,95585
EL,1997,51794,113477
EL,1998,60119,116411
EL,1999,54175,84695
EL,2000,46993,109251
EL,2001,45909,98471
EL,2002,39378,67220
EL,2003,37433,63141
EL,2004,38041,66871
EL,2005,38583,70933
EL,2006,38368,63094
EL,2007,40400,63298
EL,2008,43044,66529
EL,2009,43686,58613
EL,2010,62041,60462
EL,2011,92404,60089
EL,2012,124694,58200
EL,2013,117094,57946
EL,2014,106804,59013
EL,2015,109351,64446
EL,2016,106535,116867
EL,2017,103327,112247
EL,2018,103049,119489
EL,2019,95020,129459
EL,2020,77837,84221
EL,2021,79596,57120
ES,2002,36605,483260
ES,2003,25959,470010
ES,2004,55092,684561
ES,2005,68011,719284
ES,2006,142296,840844
ES,2007,227065,958266
ES,2008,288432,599075
ES,2009,380121,392962
ES,2010,403377,360705
ES,2011,409034,371331
ES,2012,446606,304053
ES,2013,532303,280772
ES,2014,400430,305454
ES,2015,343875,342114
ES,2016,327325,414746
ES,2017,368860,532132
ES,2018,309526,643684
ES,2019,296248,750480
ES,2020,248561,467918
ES,2021,380786,528856
FI,1990,6477,13558
FI,1991,5984,19001
FI,1992,6055,14554
FI,1993,6405,14795
FI,1994,8672,11611
FI,1995,8957,12222
FI,1996,10587,13294
FI,1997,9854,13564
FI,1998,10817,14192
FI,1999,11966,14744
FI,2000,14311,16895
FI,2001,13153,18955
FI,2002,12891,18113
FI,2003,12083,17838
FI,2004,13656,20333
FI,2005,12369,21355
FI,2006,12107,22451
FI,2007,12443,26029
FI,2008,13657,29114
FI,2009,12151,26699
FI,2010,11905,25636
FI,2011,12660,29481
FI,2012,13845,31278
FI,2013,13893,31941
FI,2014,15486,31507
FI,2015,16305,28746
FI,2016,18082,34905
FI,2017,16973,31797
FI,2018,19141,31106
FI,2019,17263,32758
FI,2020,15084,32898
FI,2021,13459,36364
FR,2006,189403,301544
FR,2007,220354,293980
FR,2008,239796,296608
FR,2009,264631,296970
FR,2010,269531,307111
FR,2011,291594,319816
FR,2012,255922,327431
FR,2013,239813,338752
FR,2014,308103,340383
FR,2015,324517,364221
FR,2016,313622,377709
FR,2017,215470,369621
FR,2018,300668,387158
FR,2019,299101,385591
FR,2020,144797,283237
FR,2021,177028,336398
HR,1991,8647,10050
HR,1992,8859,48324
HR,1993,9169,57702
HR,1994,10163,33426
HR,1995,15413,42026
HR,1996,10027,44596
HR,1997,18531,52343
HR,1998,7310,51784
HR,1999,14285,32910
HR,2001,7488,24415
HR,2002,11767,20365
HR,2003,6534,18455
HR,2004,6812,18383
HR,2006,7692,14978
HR,2007,9002,14622
HR,2008,10638,16883
HR,2009,12355,13213
HR,2010,13017,8846
HR,2011,12699,8534
HR,2012,12877,8959
HR,2013,15262,10378
HR,2014,20858,10638
HR,2015,29651,11706
HR,2016,36436,13985
HR,2017,47352,15553
HR,2018,39515,26029
HR,2019,40148,37726
HR,2020,34046,33414
HR,2021,40424,35912
HU,1995,3173,15435
HU,1996,3642,14984
HU,1997,2822,14442
HU,1998,3059,17269
HU,1999,2821,21422
HU,2000,2540,21726
HU,2001,2591,22079
HU,2002,3126,19855
HU,2003,3122,21327
HU,2004,3820,24298
HU,2005,3658,27820
HU,2006,4314,25732
HU,2007,4500,24361
HU,2008,9591,37652
HU,2009,10483,27894
HU,2010,13365,25519
HU,2011,15100,28018
HU,2012,22880,33702
HU,2013,34691,38968
HU,2014,42213,54581
HU,2015,43225,58344
HU,2016,39889,53618
HU,2017,39829,68070
HU,2018,48178,82937
HU,2019,49795,88581
HU,2020,67364,75470
HU,2021,67999,80471
IE,1990,40550,33000
IE,1991,33875,33000
IE,1992,34675,41000
IE,1993,34875,35000
IE,1994,33525,30000
IE,1995,31675,38000
IE,1996,26775,39000
IE,1997,27775,45625
IE,1998,30775,48175
IE,1999,27825,51675
IE,2000,26300,57400
IE,2001,25750,64925
IE,2002,28375,61725
IE,2003,27200,58875
IE,2004,28675,78075
IE,2005,34350,102000
IE,2006,44409,139434
IE,2007,48040,122415
IE,2008,65934,82592
IE,2009,69672,50604
IE,2010,78099,52339
IE,2011,83049,57292
IE,2012,81797,61324
