country,year,homicide_rate_per_100k
RS,2009,1.85
RS,2010,1.56
RS,2011,1.57
RS,2012,1.44
RS,2013,1.84
RS,2014,1.6
RS,2015,1.35
RS,2016,1.5
RS,2017,1.12
RS,2018,1.49
RS,2019,1.15
RS,2020,1.1
RS,2021,1.06
SE,2008,0.89
SE,2009,1.0
SE,2010,0.97
SE,2011,0.86
SE,2012,0.72
SE,2013,0.91
SE,2014,0.9
SE,2015,1.15
SE,2016,1.08
SE,2017,1.13
SE,2018,1.07
SE,2019,1.09
SE,2020,1.2
SE,2021,1.09
SI,2008,0.55
SI,2009,0.64
SI,2010,0.54
SI,2011,0.83
SI,2012,0.68
SI,2013,0.58
SI,2014,0.82
SI,2015,0.97
SI,2016,0.48
SI,2017,0.92
SI,2018,0.44
SI,2019,0.67
SI,2020,0.52
SI,2021,0.43
SK,2008,1.75
SK,2009,1.56
SK,2010,1.65
SK,2011,1.78
SK,2012,1.39
SK,2013,1.44
SK,2014,1.33
SK,2015,0.89
SK,2016,1.11
SK,2017,1.47
SK,2018,1.23
SK,2019,1.39
SK,2020,1.15
SK,2021,1.01
TR,2009,2.92
TR,2010,2.43
TR,2011,2.29
TR,2012,2.42
TR,2018,2.43
TR,2019,2.24
TR,2020,2.35
TR,2021,2.35
XK,2008,5.25
XK,2009,3.35
XK,2010,4.8
XK,2011,3.46
XK,2016,1.64
XK,2017,1.85
XK,2018,2.39
XK,2019,1.28
XK,2020,1.57
