country,year,death_rate
EE,2020,3.19
EL,2000,1.2
EL,2001,1.1
EL,2002,0.8
EL,2003,1.1
EL,2004,0.9
EL,2005,1.0
EL,2006,0.9
EL,2007,1.1
EL,2008,1.3
EL,2009,1.4
EL,2010,1.4
EL,2011,1.54
EL,2012,1.4
EL,2013,1.35
EL,2014,1.06
EL,2015,0.85
EL,2016,0.77
EL,2017,0.82
EL,2018,0.91
EL,2019,0.8
EL,2020,0.74
ES,2000,1.0
ES,2001,1.0
ES,2002,1.0
ES,2003,1.0
ES,2004,1.3
ES,2005,0.9
ES,2006,0.8
ES,2007,0.7
ES,2008,0.8
ES,2009,0.7
ES,2010,0.7
ES,2011,0.68
ES,2012,0.62
ES,2013,0.65
ES,2014,0.64
ES,2015,0.58
ES,2016,0.57
ES,2017,0.64
ES,2018,0.55
ES,2019,0.58
ES,2020,0.59
FI,2000,2.6
FI,2001,2.9
FI,2002,2.5
FI,2003,1.9
FI,2004,2.4
FI,2005,2.0
FI,2006,2.0
FI,2007,2.2
FI,2008,2.2
FI,2009,2.0
FI,2010,1.9
FI,2011,1.79
FI,2012,1.33
FI,2013,1.48
FI,2014,1.41
FI,2015,1.31
FI,2016,1.17
FI,2017,1.11
FI,2018,1.22
FI,2019,1.15
FI,2020,1.31
FR,2001,0.9
FR,2002,0.9
FR,2003,0.8
FR,2004,0.9
FR,2005,0.8
FR,2006,0.8
FR,2007,0.7
FR,2008,0.8
FR,2009,0.9
FR,2010,0.8
FR,2011,0.69
FR,2012,0.69
FR,2013,0.66
FR,2014,0.48
FR,2015,0.51
FR,2016,0.47
FR,2017,0.43
FR,2018,0.67
FR,2019,0.73
FR,2020,0.73
HR,2002,1.5
HR,2003,1.6
HR,2004,1.8
HR,2005,1.3
HR,2006,1.8
HR,2007,1.6
HR,2008,1.7
HR,2009,1.3
HR,2010,1.4
HR,2011,1.14
HR,2012,1.23
HR,2013,1.12
HR,2014,0.88
HR,2015,0.9
HR,2016,1.23
HR,2017,1.21
