country,year,mean_income
IT,1995,10408
IT,1996,10490
IT,1997,10673
IT,1998,11280
IT,1999,11896
IT,2000,12662
IT,2001,12779
IT,2004,15341
IT,2005,15796
IT,2006,15974
IT,2007,16616
IT,2008,17285
IT,2009,17554
IT,2010,17378
IT,2011,17928
IT,2012,17714
IT,2013,17455
IT,2014,17340
IT,2015,17380
IT,2016,18275
IT,2017,18691
IT,2018,19061
IT,2019,19452
IT,2020,20106
IT,2021,20015
IT,2022,21180
LT,2005,4774
LT,2006,5584
LT,2007,6868
LT,2008,8170
LT,2009,8860
LT,2010,7431
LT,2011,7085
LT,2012,7944
LT,2013,8753
LT,2014,9410
LT,2015,10445
LT,2016,11666
LT,2017,12092
LT,2018,13060
LT,2019,14054
LT,2020,15293
LT,2021,16895
LT,2022,17659
LU,1995,22035
LU,1996,22337
LU,1997,23008
LU,1998,23223
LU,1999,23924
LU,2000,25976
LU,2001,27336
LU,2003,29061
LU,2004,29478
LU,2005,30895
LU,2006,29777
LU,2007,30737
LU,2008,30892
LU,2009,31045
LU,2010,29956
LU,2011,29972
LU,2012,29941
LU,2013,32357
LU,2014,31759
LU,2015,32969
LU,2016,31903
LU,2017,33484
LU,2018,32003
LU,2019,34089
LU,2020,33103
LU,2021,36472
LU,2022,36744
LV,2005,4829
LV,2006,5682
LV,2007,6775
LV,2008,8731
LV,2009,8629
LV,2010,7156
LV,2011,7270
LV,2012,7489
LV,2013,7919
LV,2014,8898
LV,2015,9676
LV,2016,10947
LV,2017,10961
LV,2018,11953
LV,2019,13135
LV,2020,13377
LV,2021,14262
LV,2022,15069
LV,2023,15449
ME,2013,6401
ME,2014,6368
ME,2015,6705
ME,2016,7222
ME,2017,7691
ME,2018,7647
ME,2019,7571
ME,2020,7804
ME,2021,7231
ME,2022,8207
MK,2012,4629
MK,2013,4725
MK,2014,4850
MK,2015,5260
MK,2016,5637
MK,2017,5850
MK,2018,5949
MK,2019,6144
MK,2020,6544
MT,2005,13216
MT,2006,13479
MT,2007,13641
MT,2008,14797
MT,2009,15338
MT,2010,15113
MT,2011,15624
MT,2012,16149
MT,2013,17015
MT,2014,17532
MT,2015,18758
MT,2016,19656
MT,2017,20198
MT,2018,20319
MT,2019,20879
MT,2020,21999
MT,2021,22188
MT,2022,24338
NL,1995,12316
NL,1996,12910
