country,year,purchasing_power
DE,2015,34200
DE,2016,35100
DE,2017,36500
DE,2018,37400
DE,2019,37900
DE,2020,37000
DE,2021,39100
DE,2022,41300
DK,2000,23800
DK,2001,24400
DK,2002,25100
DK,2003,25300
DK,2004,26900
DK,2005,28000
DK,2006,29700
DK,2007,30800
DK,2008,32000
DK,2009,30500
DK,2010,32500
DK,2011,33100
DK,2012,33100
DK,2013,33700
DK,2014,34300
DK,2015,35300
DK,2016,36100
DK,2017,38000
DK,2018,39000
DK,2019,39500
DK,2020,40000
DK,2021,44100
DK,2022,48400
EE,2000,7800
EE,2001,8500
EE,2002,9500
EE,2003,10700
EE,2004,11800
EE,2005,13600
EE,2006,15300
EE,2007,17500
EE,2008,17700
EE,2009,15400
EE,2010,16300
EE,2011,18300
EE,2012,19200
EE,2013,19800
EE,2014,20700
EE,2015,21000
EE,2016,21700
EE,2017,23300
EE,2018,24700
EE,2019,25900
EE,2020,25600
EE,2021,28200
EE,2022,30100
EL,2000,16200
EL,2001,17300
EL,2002,18500
EL,2003,19600
EL,2004,20800
EL,2005,20900
EL,2006,22700
EL,2007,23100
EL,2008,23900
EL,2009,22900
EL,2010,21100
EL,2011,19100
EL,2012,18400
EL,2013,18800
EL,2014,19100
EL,2015,19200
EL,2016,19100
EL,2017,19600
EL,2018,20100
EL,2019,20600
EL,2020,18600
EL,2021,20700
EL,2022,23800
ES,2000,17900
ES,2001,19000
ES,2002,20000
ES,2003,20600
ES,2004,21400
ES,2005,22600
ES,2006,24400
ES,2007,25600
ES,2008,25800
ES,2009,24200
ES,2010,24000
ES,2011,23700
ES,2012,23400
ES,2013,23400
ES,2014,24000
ES,2015,25100
ES,2016,25900
ES,2017,27200
ES,2018,27600
ES,2019,28500
ES,2020,24900
ES,2021,27600
ES,2022,30300
FI,2000,22200
FI,2001,23000
FI,2002,23400
FI,2003,23800
FI,2004,25500
FI,2005,26200
FI,2006,27400
FI,2007,29900
FI,2008,31100
FI,2009,28700
FI,2010,29500
FI,2011,30500
FI,2012,30200
FI,2013,29900
FI,2014,29900
FI,2015,30500
FI,2016,31200
FI,2017,32700
FI,2018,33600
FI,2019,34200
FI,2020,34300
FI,2021,36500
FI,2022,39000
FR,2000,21700
FR,2001,22800
FR,2002,23400
FR,2003,23100
FR,2004,23700
FR,2005,25000
FR,2006,25800
FR,2007,26900
FR,2008,27200
FR,2009,26200
FR,2010,27200
FR,2011,27900
FR,2012,27800
FR,2013,28500
FR,2014,28800
FR,2015,29400
FR,2016,29800
FR,2017,30500
FR,2018,31400
FR,2019,33100
FR,2020,31400
FR,2021,33700
FR,2022,35500
HR,2000,8900
HR,2001,9600
HR,2002,10500
HR,2003,11200
HR,2004,12000
HR,2005,12700
HR,2006,14000
HR,2007,15400
HR,2008,16300
HR,2009,15300
HR,2010,15200
HR,2011,15700
HR,2012,15900
HR,2013,16000
HR,2014,16100
HR,2015,16800
HR,2016,17600
HR,2017,18700
HR,2018,19600
HR,2019,20900
HR,2020,19500
HR,2021,22800
HR,2022,25800
HU,2000,9800
HU,2001,10900
HU,2002,11900
HU,2003,12700
HU,2004,13300
HU,2005,14000
HU,2006,14600
HU,2007,15100
HU,2008,16100
HU,2009,15600
HU,2010,16500
HU,2011,17200
HU,2012,17200
HU,2013,17700
HU,2014,18400
HU,2015,19300
HU,2016,19400
HU,2017,20300
HU,2018,21600
HU,2019,22900
HU,2020,22400
HU,2021,24400
HU,2022,27000
IE,2000,25100
IE,2001,27000
IE,2002,28900
IE,2003,29800
IE,2004,31700
IE,2005,33100
IE,2006,35200
IE,2007,36900
IE,2008,34200
IE,2009,31300
IE,2010,32700
IE,2011,33600
IE,2012,34200
IE,2013,34500
IE,2014,36800
IE,2015,49800
IE,2016,49700
IE,2017,53700
IE,2018,57700
IE,2019,59200
IE,2020,62100
IE,2021,72200
IE,2022,83300
IS,2000,24700
IS,2001,26400
IS,2002,26700
IS,2003,26900
IS,2004,29000
IS,2005,30600
IS,2006,31500
IS,2007,32800
IS,2008,33700
IS,2009,31500
IS,2010,30100
IS,2011,30500
IS,2012,31000
IS,2013,32000
IS,2014,33000
IS,2015,35400
IS,2016,37200
IS,2017,38200
IS,2018,38800
IS,2019,39400
IS,2020,35500
IS,2021,38800
IS,2022,44600
IT,2000,22500
IT,2001,23200
IT,2002,23500
IT,2003,23900
IT,2004,24100
IT,2005,24600
IT,2006,25700
IT,2007,26800
IT,2008,27400
IT,2009,25900
IT,2010,26400
IT,2011,27000
IT,2012,26600
IT,2013,26200
IT,2014,26100
IT,2015,26700
IT,2016,28000
IT,2017,28800
IT,2018,29400
IT,2019,30200
IT,2020,28200
IT,2021,31500
IT,2022,34400
JP,2000,22700
JP,2001,23100
JP,2002,23700
JP,2003,24100
JP,2004,25200
JP,2005,26300
JP,2006,26700
JP,2007,27600
JP,2008,27400
JP,2009,25300
JP,2010,26800
JP,2011,27000
JP,2012,27800
JP,2013,28500
JP,2014,28300
JP,2015,29400
JP,2016,28200
JP,2017,28500
JP,2018,28700
JP,2019,27900
JP,2020,27200
JP,2021,28000
JP,2022,29100
LT,2000,7000
LT,2001,7800
LT,2002,8600
LT,2003,9900
LT,2004,10600
LT,2005,11900
LT,2006,13100
LT,2007,15100
LT,2008,16100
LT,2009,13700
LT,2010,15200
LT,2011,17100
LT,2012,18200
LT,2013,19300
LT,2014,20200
LT,2015,20700
LT,2016,21500
LT,2017,23200
LT,2018,24700
LT,2019,26400
LT,2020,26300
LT,2021,29200
LT,2022,31600
LU,2000,45800
LU,2001,46500
LU,2002,48000
LU,2003,49400
LU,2004,52900
LU,2005,56300
LU,2006,62700
LU,2007,67200
LU,2008,70600
LU,2009,65600
LU,2010,68400
LU,2011,70400
LU,2012,71400
LU,2013,72800
LU,2014,75500
LU,2015,77600
LU,2016,78500
LU,2017,79000
LU,2018,79000
LU,2019,78900
LU,2020,78000
LU,2021,87000
LU,2022,90900
LV,2000,6700
LV,2001,7500
LV,2002,8300
LV,2003,9100
LV,2004,10000
LV,2005,11400
LV,2006,12600
LV,2007,14400
LV,2008,15200
LV,2009,12900
LV,2010,13400
LV,2011,14300
LV,2012,15700
LV,2013,16300
LV,2014,17100
LV,2015,18000
LV,2016,18600
LV,2017,19700
LV,2018,20900
LV,2019,21700
LV,2020,21500
LV,2021,23200
LV,2022,25700
ME,2006,8300
ME,2007,9800
ME,2008,10700
ME,2009,9800
ME,2010,10300
ME,2011,10800
ME,2012,10200
ME,2013,10700
ME,2014,11000
ME,2015,11700
ME,2016,12600
ME,2017,13500
ME,2018,14600
ME,2019,15700
ME,2020,13400
ME,2021,15500
ME,2022,17600
MK,2000,5100
MK,2001,5000
MK,2002,5200
MK,2003,5400
MK,2004,5900
MK,2005,6400
MK,2006,6900
MK,2007,7400
MK,2008,8200
MK,2009,8300
MK,2010,8600
MK,2011,8700
MK,2012,8800
MK,2013,9200
MK,2014,9600
MK,2015,10000
MK,2016,10500
MK,2017,10800
MK,2018,11400
MK,2019,11900
MK,2020,11400
MK,2021,13300
MK,2022,14800
MT,2000,15300
MT,2001,15300
MT,2002,16100
MT,2003,17200
MT,2004,17600
MT,2005,18300
MT,2006,18500
MT,2007,19800
MT,2008,20600
MT,2009,20100
MT,2010,21700
MT,2011,21600
MT,2012,22300
MT,2013,23300
MT,2014,24600
MT,2015,26900
MT,2016,27600
MT,2017,29800
MT,2018,31100
MT,2019,32700
MT,2020,29700
MT,2021,33700
MT,2022,36900
NL,2000,26500
NL,2001,27500
NL,2002,28200
NL,2003,28000
NL,2004,29300
NL,2005,30800
NL,2006,32600
NL,2007,34700
NL,2008,36000
NL,2009,33600
NL,2010,34100
NL,2011,34700
NL,2012,34900
NL,2013,35500
NL,2014,35300
NL,2015,36200
NL,2016,36300
NL,2017,37800
NL,2018,39200
NL,2019,39700
NL,2020,39000
NL,2021,42700
NL,2022,46300
NO,2000,30700
NO,2001,31300
NO,2002,31200
NO,2003,31800
NO,2004,34900
NO,2005,39300
NO,2006,43200
NO,2007,44300
NO,2008,48200
NO,2009,42000
NO,2010,44100
NO,2011,46500
NO,2012,48600
NO,2013,48600
NO,2014,47500
NO,2015,43700
NO,2016,41200
NO,2017,44400
NO,2018,47600
NO,2019,46100
NO,2020,42900
NO,2021,54800
NO,2022,75300
PL,2000,8900
PL,2001,9200
PL,2002,9700
PL,2003,10100
PL,2004,10900
PL,2005,11400
PL,2006,12000
PL,2007,13300
PL,2008,14200
PL,2009,14400
PL,2010,15600
PL,2011,16700
PL,2012,17200
PL,2013,17300
PL,2014,17900
PL,2015,19000
PL,2016,19300
PL,2017,20300
PL,2018,21500
PL,2019,22800
PL,2020,22900
PL,2021,25200
PL,2022,28200
PT,2000,15700
PT,2001,16200
PT,2002,16700
PT,2003,17100
PT,2004,17500
PT,2005,18600
PT,2006,19600
PT,2007,20300
PT,2008,20700
PT,2009,20000
PT,2010,20600
PT,2011,19900
PT,2012,19500
PT,2013,20200
PT,2014,20600
PT,2015,21300
PT,2016,22000
PT,2017,22700
PT,2018,23700
PT,2019,24600
PT,2020,22900
PT,2021,24600
PT,2022,27900
RO,2000,4900
RO,2001,5300
RO,2002,5900
