country,year,work_poverty_risk_percentage
PT,2008,11.8
PT,2009,10.3
PT,2010,9.7
PT,2011,10.3
PT,2012,9.9
PT,2013,10.5
PT,2014,10.7
PT,2015,10.9
PT,2016,10.9
PT,2017,10.8
PT,2018,9.7
PT,2019,10.8
PT,2020,9.5
PT,2021,11.2
PT,2022,10.3
RO,2007,17.4
RO,2008,17.7
RO,2009,17.4
RO,2010,17.9
RO,2011,19.1
RO,2012,19.0
RO,2013,18.4
RO,2014,19.8
RO,2015,18.8
RO,2016,18.9
RO,2017,17.4
RO,2018,15.3
RO,2019,15.7
RO,2020,14.9
RO,2021,15.5
RO,2022,14.5
RS,2013,14.9
RS,2014,14.0
RS,2015,13.3
RS,2016,11.9
RS,2017,10.8
RS,2018,10.0
RS,2019,9.2
RS,2020,7.8
RS,2021,6.4
RS,2022,6.2
SE,2004,6.1
SE,2005,5.5
SE,2006,7.4
SE,2007,6.4
SE,2008,7.4
SE,2009,7.5
SE,2010,7.7
SE,2011,7.5
SE,2012,7.2
SE,2013,7.6
SE,2014,7.7
SE,2015,8.0
SE,2016,6.7
SE,2017,6.9
SE,2018,7.0
SE,2019,7.8
SE,2020,7.8
SE,2021,6.7
SE,2022,7.5
SI,2005,4.6
SI,2006,4.8
SI,2007,4.7
SI,2008,5.1
SI,2009,4.8
SI,2010,5.3
SI,2011,6.0
SI,2012,6.5
SI,2013,7.1
SI,2014,6.4
SI,2015,6.7
SI,2016,6.1
SI,2017,6.6
SI,2018,6.0
SI,2019,4.5
SI,2020,5.0
SI,2021,5.0
SI,2022,4.8
SK,2005,8.9
SK,2006,6.3
SK,2007,4.9
SK,2008,5.8
SK,2009,5.2
SK,2010,5.7
SK,2011,6.3
SK,2012,6.2
SK,2013,5.7
SK,2014,5.7
SK,2015,6.0
SK,2016,6.5
SK,2017,6.3
SK,2018,6.0
SK,2019,4.4
SK,2020,5.2
SK,2021,6.7
SK,2022,7.1
TR,2006,18.2
TR,2007,17.9
TR,2008,18.4
TR,2009,18.8
TR,2010,18.0
TR,2011,16.0
TR,2012,15.3
TR,2013,14.9
TR,2014,14.4
TR,2015,13.7
TR,2016,13.5
TR,2017,12.8
TR,2018,13.1
TR,2019,13.2
TR,2020,12.9
TR,2021,12.7
UK,2005,8.2
UK,2006,7.8
UK,2007,8.0
UK,2008,8.5
UK,2009,6.7
UK,2010,6.8
UK,2011,7.9
UK,2012,9.0
UK,2013,8.4
UK,2014,8.7
UK,2015,8.1
UK,2016,8.6
UK,2017,8.9
UK,2018,10.3
XK,2018,7.2
