DATAFLOW,LAST UPDATE,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2009,6.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2010,7.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2011,7.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2012,7.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2013,8.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2014,7.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2015,9.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2016,8.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2017,7.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2018,7.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2019,6.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2020,7.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2021,7.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CY,2022,7.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2005,3.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2006,3.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2007,3.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2008,3.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2009,3.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2010,3.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2011,4.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2012,4.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2013,4.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2014,3.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2015,4.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2016,3.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2017,3.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2018,3.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2019,3.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2020,3.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2021,3.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,CZ,2022,3.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2005,4.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2006,5.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2007,7.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2008,7.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2009,6.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2010,7.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2011,7.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2012,7.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2013,8.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2014,9.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2015,9.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2016,9.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2017,9.1,
