DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2018,1.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2019,1.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2020,1.7,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2021,2.4,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2022,2.0,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2015,15.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2016,12.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2017,12.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2018,10.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2019,7.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2020,7.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2021,5.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2022,7.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2023,6.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2015,8.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2016,5.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2017,4.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2018,4.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2019,5.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2020,5.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2021,5.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2022,4.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2015,3.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2016,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2017,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2018,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2019,2.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2020,2.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2021,2.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2022,2.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2015,7.8,
