DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2020,27.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2021,27.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2022,26.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2015,16.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2016,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2017,16.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2018,16.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2019,14.5,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2020,14.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2021,14.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2022,16.3,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2015,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2016,18.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2017,17.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2018,17.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2019,18.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2020,19.3,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2021,19.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2022,21.0,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2015,24.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2016,23.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2017,23.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2018,22.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2019,20.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2020,20.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2021,20.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2022,19.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2015,30.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2016,28.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2017,25.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2018,20.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2019,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2020,19.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2021,19.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2022,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2015,25.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2016,23.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2017,22.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2018,20.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2019,20.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2020,20.1,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2021,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2022,20.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2015,28.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2016,27.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2017,25.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2018,25.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2019,24.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2020,24.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2021,25.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2022,24.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2015,29.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2016,30.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2017,29.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2018,28.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2019,25.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2020,24.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2021,23.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2022,24.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2015,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2016,19.1,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2017,19.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2018,20.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2019,20.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2020,19.9,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2021,21.1,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2022,19.4,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2015,30.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2016,28.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2017,28.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2018,28.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2019,26.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2020,25.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2021,26.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2022,26.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LV,2023,25.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2015,22.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2016,20.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2017,19.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2018,19.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2019,20.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2020,19.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2021,20.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,MT,2022,20.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2015,16.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2016,16.3,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2017,16.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2018,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2019,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2020,16.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2021,16.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,NL,2022,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2015,22.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2016,20.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2017,18.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2018,18.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2019,17.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2020,17.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2021,16.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2022,15.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2015,26.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2016,24.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2017,23.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2018,21.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2019,21.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2020,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2021,22.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2022,20.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2015,44.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2016,46.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2017,42.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2018,38.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2019,36.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2020,35.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2021,34.4,
