DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2001,25.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2002,26.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2003,29.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2004,30.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2005,31.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2006,32.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2007,35.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2008,38.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2009,40.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2010,37.4,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2011,38.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2012,39.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2013,41.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2014,44.2,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2015,46.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2016,48.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2017,50.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2018,51.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2019,52.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2020,53.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2021,52.3,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2022,51.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2000,32.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2001,36.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2002,41.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2003,43.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2004,42.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2005,41.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2006,44.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2007,47.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2008,48.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2009,47.8,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2010,48.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2011,50.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2012,53.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2013,51.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2014,54.0,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2015,54.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2016,56.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2017,57.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CY,2018,58.5,
