country,year,tertiary_attainment_percentage
FI,2016,40.7
FI,2017,40.3
FI,2018,40.3
FI,2019,42.0
FI,2020,43.8
FI,2021,40.1
FI,2022,40.7
FR,2000,31.4
FR,2001,33.3
FR,2002,35.2
FR,2003,38.0
FR,2004,38.5
FR,2005,39.9
FR,2006,41.5
FR,2007,41.4
FR,2008,40.6
FR,2009,42.9
FR,2010,42.7
FR,2011,42.8
FR,2012,42.6
FR,2013,43.9
FR,2014,44.3
FR,2015,44.8
FR,2016,44.2
FR,2017,44.5
FR,2018,47.0
FR,2019,48.2
FR,2020,49.4
FR,2021,50.3
FR,2022,50.4
HR,2002,16.9
HR,2003,17.7
HR,2004,17.4
HR,2005,18.0
HR,2006,17.7
HR,2007,17.8
HR,2008,19.9
HR,2009,21.3
HR,2010,25.8
HR,2011,24.4
HR,2012,23.6
HR,2013,27.3
HR,2014,31.9
HR,2015,30.8
HR,2016,32.8
HR,2017,32.7
HR,2018,35.4
HR,2019,35.5
HR,2020,36.6
HR,2021,35.7
HR,2022,35.5
HU,2000,14.6
HU,2001,14.8
HU,2002,15.0
HU,2003,16.8
HU,2004,18.9
HU,2005,19.6
HU,2006,20.7
HU,2007,22.0
HU,2008,24.1
HU,2009,25.1
HU,2010,26.1
HU,2011,28.2
HU,2012,30.5
HU,2013,31.2
HU,2014,32.1
HU,2015,32.1
HU,2016,30.4
HU,2017,30.2
HU,2018,30.6
HU,2019,30.6
HU,2020,30.7
HU,2021,32.9
HU,2022,31.9
IE,2000,30.6
IE,2001,34.1
IE,2002,35.5
IE,2003,37.7
IE,2004,40.1
IE,2005,40.9
IE,2006,43.5
IE,2007,46.2
IE,2008,47.2
IE,2009,49.1
IE,2010,49.6
IE,2011,48.6
IE,2012,50.3
IE,2013,52.1
IE,2014,53.4
IE,2015,54.0
IE,2016,54.3
IE,2017,54.7
IE,2018,56.2
IE,2019,55.4
IE,2020,58.4
IE,2021,61.7
IE,2022,62.3
IS,2000,29.5
IS,2001,27.2
IS,2002,28.1
IS,2003,32.7
IS,2004,33.3
IS,2005,35.8
IS,2006,31.4
IS,2007,32.5
IS,2008,32.8
IS,2009,35.8
IS,2010,36.2
IS,2011,39.4
IS,2012,38.4
IS,2013,40.0
IS,2014,40.8
IS,2015,40.2
IS,2016,43.4
IS,2017,47.6
IS,2018,47.1
IS,2019,47.2
IS,2020,41.7
IS,2021,41.5
IS,2022,40.2
IT,2000,10.6
IT,2001,11.3
IT,2002,12.2
IT,2003,13.0
IT,2004,14.7
IT,2005,16.2
IT,2006,17.3
IT,2007,18.8
IT,2008,19.9
IT,2009,20.2
IT,2010,20.8
IT,2011,21.1
IT,2012,22.5
IT,2013,22.9
IT,2014,24.2
IT,2015,25.2
IT,2016,25.6
IT,2017,26.9
IT,2018,27.7
IT,2019,27.7
IT,2020,28.9
