DATAFLOW,LAST UPDATE,freq,unit,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,BG,2020,12.8,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,BG,2021,12.2,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,BG,2022,10.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2000,7.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2001,6.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2002,6.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2003,9.7,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2004,9.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2005,9.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2006,9.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2007,7.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2008,7.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2009,9.1,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2010,6.7,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2011,6.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2012,5.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2013,5.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2014,5.6,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2015,5.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2016,4.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2017,4.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2018,4.4,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2019,4.4,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2020,4.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2021,4.9,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CH,2022,6.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2000,18.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2001,17.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2002,15.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2003,17.3,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2004,20.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,CY,2005,18.2,
