country,year,early_leavers_percentage,tertiary_attainment_percentage
EE,2010,11,38.2
EE,2011,10.6,39.0
EE,2012,10.3,40.1
EE,2013,9.7,40.6
EE,2014,12,40.6
EE,2015,13.7,38.5
EE,2016,11.4,39.1
EE,2017,11.8,40.9
EE,2018,12,41.1
EE,2019,11.2,40.6
EE,2020,8.5,40.1
EE,2021,9.8,43.2
EE,2022,10.8,43.9
EL,2000,18.2,23.3
EL,2001,16.9,22.9
EL,2002,16.2,23.1
EL,2003,15.6,23.1
EL,2004,14.5,24.8
EL,2005,13.3,24.9
EL,2006,15.1,26.3
EL,2007,14.3,27.3
EL,2008,14.4,27.7
EL,2009,14.2,28.9
EL,2010,13.5,30.6
EL,2011,12.9,32.3
EL,2012,11.3,34.5
EL,2013,10.1,37.2
EL,2014,9,38.7
EL,2015,7.9,40.1
EL,2016,6.2,41.0
EL,2017,6,42.5
EL,2018,4.7,42.8
EL,2019,4.1,42.4
EL,2020,3.8,43.7
EL,2021,3.2,44.2
EL,2022,4.1,45.2
ES,2000,29.1,33.9
ES,2001,29.7,35.4
ES,2002,30.9,37.5
ES,2003,31.7,37.9
ES,2004,32.2,39.0
ES,2005,31,40.7
ES,2006,30.3,40.3
ES,2007,30.8,40.0
ES,2008,31.7,40.0
ES,2009,30.9,39.5
ES,2010,28.2,40.3
ES,2011,26.3,40.3
ES,2012,24.7,40.4
ES,2013,23.6,41.1
ES,2014,21.9,41.5
ES,2015,20,41.0
ES,2016,19,41.0
ES,2017,18.3,42.6
ES,2018,17.9,44.3
ES,2019,17.3,46.5
ES,2020,16,47.4
ES,2021,13.3,48.7
ES,2022,13.9,50.5
FI,2000,9,37.8
FI,2001,9.5,38.2
FI,2002,9.7,37.8
FI,2003,10.1,37.9
FI,2004,10,38.2
FI,2005,10.3,37.5
FI,2006,9.7,38.5
FI,2007,9.1,39.3
FI,2008,9.8,38.3
FI,2009,9.9,39.4
FI,2010,10.3,39.2
FI,2011,9.8,39.4
FI,2012,8.9,39.7
FI,2013,9.3,40.0
FI,2014,9.5,40.3
FI,2015,9.2,40.2
FI,2016,7.9,40.7
FI,2017,8.2,40.3
FI,2018,8.3,40.3
FI,2019,7.3,42.0
FI,2020,8.2,43.8
FI,2021,8.2,40.1
FI,2022,8.4,40.7
FR,2000,13.3,31.4
FR,2001,13.5,33.3
FR,2002,13.4,35.2
FR,2003,12.7,38.0
FR,2004,12.3,38.5
FR,2005,12.5,39.9
FR,2006,12.7,41.5
FR,2007,12.8,41.4
FR,2008,11.8,40.6
FR,2009,12.4,42.9
FR,2010,12.7,42.7
FR,2011,12.3,42.8
FR,2012,11.8,42.6
FR,2013,9.7,43.9
FR,2014,8.8,44.3
FR,2015,9.2,44.8
FR,2016,8.8,44.2
FR,2017,8.8,44.5
FR,2018,8.7,47.0
FR,2019,8.2,48.2
FR,2020,8,49.4
FR,2021,7.8,50.3
FR,2022,7.6,50.4
HR,2002,8,16.9
HR,2003,7.9,17.7
HR,2004,5.4,17.4
HR,2005,5.1,18.0
HR,2006,4.7,17.7
HR,2007,4.5,17.8
HR,2008,4.4,19.9
HR,2009,5.2,21.3
HR,2010,5.2,25.8
HR,2011,5,24.4
HR,2012,5.1,23.6
HR,2013,4.5,27.3
HR,2014,2.8,31.9
HR,2015,2.8,30.8
HR,2016,2.8,32.8
HR,2017,3.1,32.7
HR,2018,3.3,35.4
HR,2019,3,35.5
HR,2020,2.2,36.6
HR,2021,2.4,35.7
HR,2022,2.3,35.5
HU,2000,13.9,14.6
HU,2001,13.1,14.8
HU,2002,12.2,15.0
HU,2003,12,16.8
HU,2004,12.6,18.9
HU,2005,12.5,19.6
HU,2006,12.5,20.7
HU,2007,11.4,22.0
HU,2008,11.7,24.1
HU,2009,11.5,25.1
HU,2010,10.8,26.1
HU,2011,11.4,28.2
HU,2012,11.8,30.5
HU,2013,11.9,31.2
HU,2014,11.4,32.1
HU,2015,11.6,32.1
HU,2016,12.4,30.4
HU,2017,12.5,30.2
HU,2018,12.5,30.6
HU,2019,11.8,30.6
HU,2020,12.1,30.7
HU,2021,12,32.9
HU,2022,12.4,31.9
IE,2002,14.6,35.5
IE,2003,13.1,37.7
IE,2004,13.1,40.1
IE,2005,12.5,40.9
IE,2006,12.3,43.5
IE,2007,12,46.2
IE,2008,11.7,47.2
IE,2009,11.8,49.1
IE,2010,11.9,49.6
IE,2011,11.1,48.6
IE,2012,9.9,50.3
IE,2013,8.7,52.1
IE,2014,6.7,53.4
IE,2015,6.8,54.0
IE,2016,6,54.3
IE,2017,5,54.7
IE,2018,5,56.2
IE,2019,5.1,55.4
IE,2020,5,58.4
IE,2021,3.3,61.7
IE,2022,3.7,62.3
IS,2000,29.8,29.5
IS,2001,30.9,27.2
IS,2002,28.8,28.1
IS,2003,20.3,32.7
IS,2004,24.9,33.3
IS,2005,24.9,35.8
IS,2007,23.2,32.5
IS,2008,24.4,32.8
IS,2009,21.3,35.8
IS,2010,22.6,36.2
IS,2011,19.7,39.4
IS,2012,20.1,38.4
IS,2013,20.5,40.0
IS,2014,19.1,40.8
IS,2015,18.8,40.2
IS,2016,19.8,43.4
IS,2017,17.8,47.6
IS,2018,21.5,47.1
IS,2019,17.9,47.2
IS,2020,14.8,41.7
IS,2021,14.4,41.5
IS,2022,16.5,40.2
IT,2000,25.1,10.6
IT,2001,25.9,11.3
IT,2002,24.2,12.2
IT,2003,23,13.0
IT,2004,23.1,14.7
IT,2005,22.1,16.2
IT,2006,20.4,17.3
IT,2007,19.5,18.8
IT,2008,19.6,19.9
IT,2009,19.1,20.2
IT,2010,18.6,20.8
IT,2011,17.8,21.1
IT,2012,17.3,22.5
IT,2013,16.8,22.9
IT,2014,15,24.2
IT,2015,14.7,25.2
IT,2016,13.8,25.6
IT,2017,14,26.9
IT,2018,14.5,27.7
IT,2019,13.5,27.7
IT,2020,13.1,28.9
IT,2021,12.7,28.3
IT,2022,11.5,29.2
LT,2000,16.5,39.9
LT,2001,14.9,26.7
LT,2002,13.4,28.0
LT,2003,11.4,29.3
LT,2004,10.3,35.7
LT,2005,8.4,36.9
LT,2006,8.8,38.2
LT,2007,7.8,38.1
LT,2008,7.5,41.5
LT,2009,8.7,43.5
LT,2010,7.9,46.3
LT,2011,7.4,48.2
LT,2012,6.5,48.6
LT,2013,6.3,50.5
LT,2014,5.9,52.6
LT,2015,5.5,54.8
LT,2016,4.8,54.9
LT,2017,5.4,55.6
LT,2018,4.6,55.6
LT,2019,4,55.2
LT,2020,5.6,56.2
LT,2021,5.3,57.5
LT,2022,4.8,58.2
LU,2000,16.8,22.9
LU,2001,18.1,23.4
LU,2002,17,22.6
LU,2003,12.3,18.8
LU,2004,12.7,32.4
LU,2005,13.3,37.0
LU,2006,14,33.5
LU,2007,12.5,35.7
LU,2008,13.4,38.7
LU,2009,7.7,44.5
LU,2010,7.1,44.2
LU,2011,6.2,46.6
LU,2012,8.1,49.9
LU,2013,6.1,48.1
LU,2014,6.1,52.9
LU,2015,9.3,50.3
LU,2016,5.5,51.5
LU,2017,7.3,51.3
LU,2018,6.3,53.7
LU,2019,7.2,56.1
LU,2020,8.2,60.6
LU,2021,9.3,62.6
LU,2022,8.2,61.0
LV,2002,16.5,17.3
LV,2003,18.8,18.5
LV,2004,15.9,19.7
LV,2005,15.4,21.7
LV,2006,15.6,23.0
LV,2007,15.6,25.7
LV,2008,15.5,28.8
LV,2009,14.3,31.6
LV,2010,12.9,34.7
LV,2011,11.6,35.1
LV,2012,10.6,38.7
LV,2013,9.8,40.7
LV,2014,8.5,39.4
LV,2015,9.9,39.9
LV,2016,10,42.1
LV,2017,8.6,41.6
LV,2018,8.3,41.6
LV,2019,8.7,43.8
LV,2020,7.2,44.2
LV,2021,7.3,45.5
LV,2022,6.7,45.9
ME,2011,7.2,25.9
ME,2012,6.7,26.8
ME,2013,5.6,31.5
ME,2014,5.1,32.6
ME,2015,5.7,31.9
ME,2016,5.5,34.3
ME,2017,5.4,35.5
ME,2018,4.6,34.2
ME,2019,5,39.3
ME,2020,3.6,40.4
MK,2006,22.8,12.2
MK,2007,19.9,14.8
MK,2008,19.6,15.1
MK,2009,16.2,19.3
MK,2010,15.5,21.8
MK,2011,13.5,25.1
MK,2012,11.7,26.3
MK,2013,11.4,26.3
MK,2014,12.5,28.1
MK,2015,11.4,30.6
MK,2016,9.9,32.2
MK,2017,8.5,33.0
MK,2018,7.1,33.6
MK,2019,7.1,35.8
MK,2020,5.7,37.7
MT,2000,54.2,8.8
MT,2001,54.4,14.8
MT,2002,53.2,12.0
MT,2003,49.9,16.3
MT,2004,42.1,18.4
MT,2005,33,17.8
MT,2006,32.2,20.8
MT,2007,30.2,22.2
MT,2008,27.2,23.1
MT,2009,25.7,22.8
MT,2010,21.4,24.3
MT,2011,18.8,26.2
MT,2012,18.1,28.3
MT,2013,17.1,31.1
MT,2014,17,31.3
MT,2015,16.3,31.9
MT,2016,15.6,34.3
MT,2017,14,34.9
MT,2018,14,39.9
MT,2019,13.9,40.8
MT,2020,12.6,40.1
MT,2021,10.7,42.5
MT,2022,10.1,42.4
NL,2000,15.4,26.9
NL,2001,15.1,27.1
NL,2002,15.3,28.3
NL,2003,14.3,32.1
NL,2004,14.1,34.5
NL,2005,14.3,33.3
NL,2006,12.9,34.6
NL,2007,11.9,35.7
NL,2008,11.4,38.3
NL,2009,11.3,38.4
NL,2010,10.1,40.3
NL,2011,9.2,40.0
NL,2012,8.9,41.4
NL,2013,9.3,43.0
NL,2014,8.7,44.3
NL,2015,8.2,45.1
NL,2016,8,45.2
NL,2017,7.1,46.6
NL,2018,7.3,47.6
NL,2019,7.5,49.1
NL,2020,7,52.3
NL,2021,5.1,55.6
NL,2022,5.6,56.4
NO,2006,17.8,41.0
NO,2007,18.4,41.7
NO,2008,17,43.7
NO,2009,17.6,44.3
NO,2010,17.4,45.0
NO,2011,16.6,46.1
NO,2012,14.8,45.0
NO,2013,13.7,46.7
NO,2014,11.7,50.2
NO,2015,10.2,49.0
NO,2016,10.9,49.2
NO,2017,10.4,48.3
NO,2018,9.9,48.5
NO,2019,9.9,48.4
NO,2020,9.9,50.9
NO,2021,12.3,55.0
NO,2022,13.2,55.6
PL,2001,7.4,15.0
PL,2002,7.2,16.8
PL,2003,6,20.3
PL,2004,5.6,23.0
PL,2005,5.3,25.4
PL,2006,5.4,28.0
PL,2007,5,30.0
PL,2008,5,32.1
PL,2009,5.3,35.5
PL,2010,5.4,37.1
PL,2011,5.6,39.0
PL,2012,5.7,40.8
PL,2013,5.6,41.8
PL,2014,5.4,42.6
PL,2015,5.3,43.2
PL,2016,5.2,43.5
PL,2017,5,43.6
PL,2018,4.8,43.5
PL,2019,5.2,43.5
PL,2020,5.4,42.4
PL,2021,5.9,40.6
PL,2022,4.8,40.5
PT,2000,43.7,12.8
PT,2001,44.3,14.1
PT,2002,45,15.3
PT,2003,41.2,16.7
PT,2004,39.3,18.4
PT,2005,38.3,19.0
PT,2006,38.5,20.0
PT,2007,36.5,21.4
PT,2008,34.9,23.2
PT,2009,30.9,23.5
PT,2010,28.3,25.5
PT,2011,23,27.5
PT,2012,20.5,29.0
PT,2013,18.9,30.0
PT,2014,17.4,31.4
PT,2015,13.7,33.1
PT,2016,14,35.0
PT,2017,12.6,34.0
PT,2018,11.8,35.1
PT,2019,10.6,37.4
PT,2020,8.9,41.9
PT,2021,5.9,47.5
PT,2022,6,44.4
RO,2000,22.9,9.2
RO,2001,21.7,9.5
RO,2002,23,10.4
RO,2003,22.5,10.7
RO,2004,22.4,12.6
RO,2005,19.6,13.5
RO,2006,17.9,14.8
RO,2007,17.3,16.6
RO,2008,15.9,18.8
RO,2009,16.6,19.5
RO,2010,19.3,20.7
RO,2011,18.1,22.5
RO,2012,17.8,23.6
RO,2013,17.3,24.4
RO,2014,18.1,25.4
RO,2015,19.1,25.5
RO,2016,18.5,24.8
RO,2017,18.1,25.6
RO,2018,16.4,24.9
RO,2019,15.3,25.5
RO,2020,15.6,24.9
RO,2021,15.3,23.3
RO,2022,15.6,24.7
RS,2010,8.3,18.9
RS,2011,8.5,22.0
RS,2012,8.1,24.9
RS,2013,8.9,25.1
RS,2014,8.4,27.1
RS,2015,7.5,29.8
RS,2016,7,31.4
RS,2017,6.2,32.2
RS,2018,6.8,32.8
RS,2019,6.6,33.4
RS,2020,5.6,32.6
RS,2021,6.3,33.9
RS,2022,5,33.4
SE,2000,7.3,33.1
SE,2001,10.2,28.2
SE,2002,10,30.7
SE,2003,9.2,32.5
SE,2004,9.2,34.5
SE,2005,10.8,37.3
SE,2006,8.6,39.2
SE,2007,8,39.9
SE,2008,7.9,40.9
SE,2009,7,42.4
SE,2010,6.5,42.3
SE,2011,6.6,42.8
SE,2012,7.5,43.5
SE,2013,7.1,44.9
SE,2014,6.7,46.0
SE,2015,7,46.5
SE,2016,7.4,47.3
SE,2017,7.7,47.4
SE,2018,7.5,47.6
SE,2019,6.5,48.4
SE,2020,7.7,49.2
SE,2021,8.4,49.3
SE,2022,8.8,52.4
SI,2001,6.4,17.4
SI,2002,5.1,19.7
SI,2003,4.6,23.7
SI,2004,4.3,24.9
SI,2005,4.9,24.7
SI,2006,5.6,27.0
SI,2007,4.1,30.1
SI,2008,5.1,30.0
SI,2009,5.3,30.4
SI,2010,5,31.3
SI,2011,4.2,33.8
SI,2012,4.4,35.3
SI,2013,3.9,37.4
SI,2014,4.4,38.0
SI,2015,5,40.8
SI,2016,4.9,43.0
SI,2017,4.3,44.5
SI,2018,4.2,40.7
SI,2019,4.6,44.1
SI,2020,4.1,45.4
SI,2021,3.1,47.9
SI,2022,4,47.3
SK,2002,6.7,11.9
SK,2003,5.3,13.2
SK,2004,6.8,14.3
SK,2005,6.3,16.2
SK,2006,6.6,16.6
SK,2007,6.5,17.5
SK,2008,6,18.4
SK,2009,4.9,20.6
SK,2010,4.7,24.0
SK,2011,5.1,25.5
SK,2012,5.3,27.0
SK,2013,6.4,29.7
SK,2014,6.7,29.8
SK,2015,6.9,31.3
SK,2016,7.4,33.4
SK,2017,9.3,35.1
SK,2018,8.6,37.2
SK,2019,8.3,39.2
SK,2020,7.6,39.0
SK,2021,7.8,39.5
SK,2022,7.4,39.1
TR,2006,48.8,12.8
TR,2007,46.9,13.5
TR,2008,45.5,14.7
TR,2009,44.3,15.9
TR,2010,43.1,16.8
TR,2011,41.9,18.1
TR,2012,39.6,20.1
TR,2013,37.5,21.5
TR,2014,38.3,23.8
TR,2015,36.4,26.5
TR,2016,34.3,29.4
TR,2017,32.5,30.5
TR,2018,31,32.1
TR,2019,28.7,34.1
TR,2020,26.7,36.2
UK,2000,18.2,31.5
UK,2001,17.8,33.0
UK,2002,17.6,34.7
UK,2003,12.1,33.9
UK,2005,12,35.8
UK,2006,11.2,36.8
UK,2007,16.6,37.8
UK,2008,16.9,38.6
UK,2009,15.7,40.1
UK,2010,14.8,41.6
UK,2011,14.9,43.8
UK,2012,13.4,45.1
UK,2013,12.4,45.2
UK,2014,11.8,45.8
UK,2015,10.8,46.9
UK,2016,11.2,47.1
UK,2017,10.6,47.2
UK,2018,10.7,48.1
UK,2019,10.9,49.4
