country,year,early_leavers_percentage
FI,2015,9.2
FI,2016,7.9
FI,2017,8.2
FI,2018,8.3
FI,2019,7.3
FI,2020,8.2
FI,2021,8.2
FI,2022,8.4
FR,2000,13.3
FR,2001,13.5
FR,2002,13.4
FR,2003,12.7
FR,2004,12.3
FR,2005,12.5
FR,2006,12.7
FR,2007,12.8
FR,2008,11.8
FR,2009,12.4
FR,2010,12.7
FR,2011,12.3
FR,2012,11.8
FR,2013,9.7
FR,2014,8.8
FR,2015,9.2
FR,2016,8.8
FR,2017,8.8
FR,2018,8.7
FR,2019,8.2
FR,2020,8.0
FR,2021,7.8
FR,2022,7.6
HR,2002,8.0
HR,2003,7.9
HR,2004,5.4
HR,2005,5.1
HR,2006,4.7
HR,2007,4.5
HR,2008,4.4
HR,2009,5.2
HR,2010,5.2
HR,2011,5.0
HR,2012,5.1
HR,2013,4.5
HR,2014,2.8
HR,2015,2.8
HR,2016,2.8
HR,2017,3.1
HR,2018,3.3
HR,2019,3.0
HR,2020,2.2
HR,2021,2.4
HR,2022,2.3
HU,2000,13.9
HU,2001,13.1
HU,2002,12.2
HU,2003,12.0
HU,2004,12.6
HU,2005,12.5
HU,2006,12.5
HU,2007,11.4
HU,2008,11.7
HU,2009,11.5
HU,2010,10.8
HU,2011,11.4
HU,2012,11.8
HU,2013,11.9
HU,2014,11.4
HU,2015,11.6
HU,2016,12.4
HU,2017,12.5
HU,2018,12.5
HU,2019,11.8
HU,2020,12.1
HU,2021,12.0
HU,2022,12.4
IE,2002,14.6
IE,2003,13.1
IE,2004,13.1
IE,2005,12.5
IE,2006,12.3
IE,2007,12.0
IE,2008,11.7
IE,2009,11.8
IE,2010,11.9
IE,2011,11.1
IE,2012,9.9
IE,2013,8.7
IE,2014,6.7
IE,2015,6.8
IE,2016,6.0
IE,2017,5.0
IE,2018,5.0
IE,2019,5.1
IE,2020,5.0
IE,2021,3.3
IE,2022,3.7
IS,2000,29.8
IS,2001,30.9
IS,2002,28.8
IS,2003,20.3
IS,2004,24.9
IS,2005,24.9
IS,2006,
IS,2007,23.2
IS,2008,24.4
IS,2009,21.3
IS,2010,22.6
IS,2011,19.7
IS,2012,20.1
IS,2013,20.5
IS,2014,19.1
IS,2015,18.8
IS,2016,19.8
IS,2017,17.8
IS,2018,21.5
IS,2019,17.9
IS,2020,14.8
IS,2021,14.4
IS,2022,16.5
IT,2000,25.1
IT,2001,25.9
IT,2002,24.2
IT,2003,23.0
IT,2004,23.1
IT,2005,22.1
IT,2006,20.4
IT,2007,19.5
IT,2008,19.6
IT,2009,19.1
IT,2010,18.6
IT,2011,17.8
IT,2012,17.3
IT,2013,16.8
IT,2014,15.0
IT,2015,14.7
IT,2016,13.8
IT,2017,14.0
IT,2018,14.5
IT,2019,13.5
IT,2020,13.1
IT,2021,12.7
IT,2022,11.5
LT,2000,16.5
LT,2001,14.9
LT,2002,13.4
LT,2003,11.4
LT,2004,10.3
LT,2005,8.4
LT,2006,8.8
LT,2007,7.8
LT,2008,7.5
LT,2009,8.7
LT,2010,7.9
LT,2011,7.4
LT,2012,6.5
LT,2013,6.3
LT,2014,5.9
LT,2015,5.5
LT,2016,4.8
LT,2017,5.4
LT,2018,4.6
LT,2019,4.0
LT,2020,5.6
LT,2021,5.3
LT,2022,4.8
LU,2000,16.8
LU,2001,18.1
LU,2002,17.0
LU,2003,12.3
LU,2004,12.7
LU,2005,13.3
LU,2006,14.0
LU,2007,12.5
LU,2008,13.4
LU,2009,7.7
LU,2010,7.1
LU,2011,6.2
LU,2012,8.1
LU,2013,6.1
LU,2014,6.1
LU,2015,9.3
LU,2016,5.5
LU,2017,7.3
LU,2018,6.3
LU,2019,7.2
LU,2020,8.2
LU,2021,9.3
LU,2022,8.2
LV,2002,16.5
LV,2003,18.8
LV,2004,15.9
LV,2005,15.4
LV,2006,15.6
LV,2007,15.6
LV,2008,15.5
LV,2009,14.3
LV,2010,12.9
LV,2011,11.6
LV,2012,10.6
LV,2013,9.8
LV,2014,8.5
LV,2015,9.9
LV,2016,10.0
LV,2017,8.6
LV,2018,8.3
LV,2019,8.7
LV,2020,7.2
LV,2021,7.3
LV,2022,6.7
ME,2011,7.2
ME,2012,6.7
ME,2013,5.6
ME,2014,5.1
ME,2015,5.7
ME,2016,5.5
ME,2017,5.4
ME,2018,4.6
ME,2019,5.0
ME,2020,3.6
MK,2006,22.8
MK,2007,19.9
MK,2008,19.6
MK,2009,16.2
MK,2010,15.5
MK,2011,13.5
MK,2012,11.7
MK,2013,11.4
MK,2014,12.5
MK,2015,11.4
MK,2016,9.9
MK,2017,8.5
MK,2018,7.1
MK,2019,7.1
MK,2020,5.7
MT,2000,54.2
MT,2001,54.4
MT,2002,53.2
MT,2003,49.9
MT,2004,42.1
MT,2005,33.0
MT,2006,32.2
MT,2007,30.2
MT,2008,27.2
MT,2009,25.7
MT,2010,21.4
MT,2011,18.8
MT,2012,18.1
MT,2013,17.1
MT,2014,17.0
MT,2015,16.3
MT,2016,15.6
MT,2017,14.0
MT,2018,14.0
MT,2019,13.9
MT,2020,12.6
MT,2021,10.7
MT,2022,10.1
NL,2000,15.4
NL,2001,15.1
NL,2002,15.3
NL,2003,14.3
NL,2004,14.1
NL,2005,14.3
NL,2006,12.9
NL,2007,11.9
NL,2008,11.4
NL,2009,11.3
NL,2010,10.1
NL,2011,9.2
NL,2012,8.9
NL,2013,9.3
NL,2014,8.7
NL,2015,8.2
NL,2016,8.0
NL,2017,7.1
NL,2018,7.3
NL,2019,7.5
NL,2020,7.0
NL,2021,5.1
NL,2022,5.6
NO,2006,17.8
NO,2007,18.4
NO,2008,17.0
NO,2009,17.6
NO,2010,17.4
NO,2011,16.6
NO,2012,14.8
NO,2013,13.7
NO,2014,11.7
NO,2015,10.2
NO,2016,10.9
NO,2017,10.4
NO,2018,9.9
NO,2019,9.9
NO,2020,9.9
NO,2021,12.3
NO,2022,13.2
PL,2001,7.4
PL,2002,7.2
PL,2003,6.0
PL,2004,5.6
PL,2005,5.3
PL,2006,5.4
PL,2007,5.0
PL,2008,5.0
PL,2009,5.3
PL,2010,5.4
PL,2011,5.6
PL,2012,5.7
PL,2013,5.6
PL,2014,5.4
PL,2015,5.3
PL,2016,5.2
PL,2017,5.0
PL,2018,4.8
PL,2019,5.2
PL,2020,5.4
PL,2021,5.9
PL,2022,4.8
PT,2000,43.7
PT,2001,44.3
PT,2002,45.0
PT,2003,41.2
PT,2004,39.3
PT,2005,38.3
PT,2006,38.5
PT,2007,36.5
PT,2008,34.9
PT,2009,30.9
PT,2010,28.3
PT,2011,23.0
PT,2012,20.5
PT,2013,18.9
PT,2014,17.4
PT,2015,13.7
PT,2016,14.0
PT,2017,12.6
PT,2018,11.8
PT,2019,10.6
PT,2020,8.9
PT,2021,5.9
PT,2022,6.0
RO,2000,22.9
RO,2001,21.7
RO,2002,23.0
RO,2003,22.5
RO,2004,22.4
RO,2005,19.6
RO,2006,17.9
RO,2007,17.3
RO,2008,15.9
RO,2009,16.6
RO,2010,19.3
RO,2011,18.1
RO,2012,17.8
RO,2013,17.3
RO,2014,18.1
RO,2015,19.1
RO,2016,18.5
RO,2017,18.1
RO,2018,16.4
RO,2019,15.3
RO,2020,15.6
RO,2021,15.3
RO,2022,15.6
RS,2010,8.3
RS,2011,8.5
RS,2012,8.1
RS,2013,8.9
RS,2014,8.4
RS,2015,7.5
RS,2016,7.0
RS,2017,6.2
RS,2018,6.8
RS,2019,6.6
RS,2020,5.6
RS,2021,6.3
RS,2022,5.0
SE,2000,7.3
SE,2001,10.2
SE,2002,10.0
SE,2003,9.2
SE,2004,9.2
SE,2005,10.8
SE,2006,8.6
SE,2007,8.0
SE,2008,7.9
SE,2009,7.0
SE,2010,6.5
SE,2011,6.6
SE,2012,7.5
SE,2013,7.1
SE,2014,6.7
SE,2015,7.0
SE,2016,7.4
SE,2017,7.7
SE,2018,7.5
SE,2019,6.5
SE,2020,7.7
SE,2021,8.4
SE,2022,8.8
SI,2001,6.4
SI,2002,5.1
SI,2003,4.6
SI,2004,4.3
SI,2005,4.9
SI,2006,5.6
SI,2007,4.1
SI,2008,5.1
SI,2009,5.3
SI,2010,5.0
SI,2011,4.2
SI,2012,4.4
SI,2013,3.9
SI,2014,4.4
SI,2015,5.0
SI,2016,4.9
SI,2017,4.3
SI,2018,4.2
SI,2019,4.6
SI,2020,4.1
SI,2021,3.1
SI,2022,4.0
SK,2002,6.7
SK,2003,5.3
SK,2004,6.8
SK,2005,6.3
SK,2006,6.6
SK,2007,6.5
SK,2008,6.0
SK,2009,4.9
SK,2010,4.7
SK,2011,5.1
SK,2012,5.3
SK,2013,6.4
SK,2014,6.7
SK,2015,6.9
SK,2016,7.4
SK,2017,9.3
SK,2018,8.6
SK,2019,8.3
SK,2020,7.6
SK,2021,7.8
SK,2022,7.4
TR,2006,48.8
TR,2007,46.9
TR,2008,45.5
TR,2009,44.3
TR,2010,43.1
TR,2011,41.9
TR,2012,39.6
TR,2013,37.5
TR,2014,38.3
TR,2015,36.4
TR,2016,34.3
TR,2017,32.5
TR,2018,31.0
TR,2019,28.7
TR,2020,26.7
UK,2000,18.2
UK,2001,17.8
UK,2002,17.6
UK,2003,12.1
UK,2004,
UK,2005,12.0
UK,2006,11.2
UK,2007,16.6
UK,2008,16.9
UK,2009,15.7
UK,2010,14.8
UK,2011,14.9
UK,2012,13.4
UK,2013,12.4
UK,2014,11.8
UK,2015,10.8
UK,2016,11.2
UK,2017,10.6
UK,2018,10.7
UK,2019,10.9
