country,year,healthy_expectancy_2004_2021
ES,2018,68.0
ES,2019,69.9
ES,2020,66.3
ES,2021,62.8
FI,2004,53.2
FI,2005,52.1
FI,2006,52.9
FI,2007,57.3
FI,2008,59.1
FI,2009,58.4
FI,2010,58.2
FI,2011,58.0
FI,2012,56.7
FI,2014,58.2
FI,2015,57.8
FI,2016,58.1
FI,2017,57.4
FI,2018,57.4
FI,2019,56.4
FI,2020,56.9
FI,2021,61.7
FR,2004,62.9
FR,2005,63.5
FR,2006,63.6
FR,2007,63.6
FR,2008,63.7
FR,2009,63.1
FR,2010,62.6
FR,2011,63.1
FR,2012,63.2
FR,2013,63.6
FR,2014,63.8
FR,2015,63.6
FR,2016,63.4
FR,2017,63.7
FR,2018,63.9
FR,2019,64.1
FR,2020,64.6
FR,2021,66.2
HR,2010,59.0
HR,2011,60.7
HR,2012,63.1
HR,2013,59.0
HR,2014,59.3
HR,2015,56.1
HR,2016,57.9
HR,2017,57.6
HR,2018,57.5
HR,2019,57.4
HR,2020,58.5
HR,2021,58.6
HU,2005,53.2
HU,2006,55.8
HU,2007,56.5
HU,2008,56.5
HU,2009,57.0
HU,2010,57.5
HU,2011,58.4
HU,2012,59.8
HU,2013,59.5
HU,2014,59.9
HU,2015,59.1
HU,2016,59.8
HU,2017,60.2
HU,2018,61.1
HU,2019,61.7
HU,2020,62.5
HU,2021,62.5
IE,2004,63.2
IE,2005,63.3
IE,2006,63.8
IE,2007,64.2
IE,2008,64.3
IE,2009,64.6
IE,2010,66.4
IE,2011,67.2
IE,2012,67.2
IE,2013,66.9
IE,2014,66.9
IE,2015,67.2
IE,2016,68.5
IE,2017,68.6
IE,2018,69.4
IE,2019,69.6
IE,2020,66.2
IE,2021,67.2
IS,2004,64.2
IS,2005,66.1
IS,2006,67.0
IS,2007,72.3
IS,2008,70.3
IS,2009,68.8
IS,2010,68.8
IS,2011,68.5
IS,2012,69.3
IS,2013,69.3
IS,2014,68.8
IS,2015,68.9
IS,2016,66.7
IS,2017,63.1
IS,2018,62.4
IT,2004,69.9
IT,2005,67.3
IT,2006,65.0
IT,2007,63.0
IT,2008,62.4
IT,2009,62.9
IT,2011,63.0
IT,2012,61.8
IT,2013,61.6
IT,2014,62.4
IT,2015,62.6
IT,2016,67.4
IT,2017,66.3
IT,2018,66.8
IT,2019,68.3
IT,2020,68.0
IT,2021,68.1
LT,2005,52.9
LT,2006,54.4
LT,2007,55.7
LT,2008,56.8
LT,2009,58.9
LT,2010,59.8
LT,2011,59.5
LT,2012,59.1
LT,2013,59.2
LT,2014,59.7
LT,2015,56.5
LT,2016,57.8
LT,2017,58.1
LT,2018,57.7
LT,2019,57.5
LT,2020,56.8
LT,2021,57.6
LU,2004,59.9
LU,2005,62.4
LU,2006,61.7
LU,2007,63.5
LU,2008,64.6
LU,2009,65.7
LU,2010,65.5
LU,2011,66.5
LU,2012,66.1
LU,2013,63.3
LU,2014,63.8
LU,2015,62.2
LU,2016,60.2
LU,2017,59.2
LU,2018,60.7
LU,2019,62.6
LU,2020,63.3
LU,2021,62.0
LV,2005,51.9
LV,2006,51.7
LV,2007,53.1
LV,2008,53.0
LV,2009,54.1
LV,2010,54.8
LV,2011,55.1
LV,2012,56.8
LV,2013,53.0
LV,2014,53.4
LV,2015,53.0
LV,2016,53.6
LV,2017,51.4
LV,2018,52.3
LV,2019,53.1
LV,2020,53.4
LV,2021,53.8
MT,2005,69.6
MT,2006,69.0
MT,2007,70.2
MT,2008,70.4
MT,2009,70.2
MT,2010,70.7
MT,2011,70.3
MT,2012,71.9
MT,2013,72.1
MT,2014,73.4
MT,2015,73.6
MT,2016,71.7
MT,2017,72.7
MT,2018,72.7
MT,2019,73.2
MT,2020,70.5
MT,2021,68.7
NL,2005,64.5
NL,2006,64.3
NL,2007,65.2
NL,2008,61.2
NL,2009,60.9
NL,2010,60.7
NL,2011,61.5
NL,2012,61.2
NL,2013,59.5
NL,2014,61.2
NL,2015,59.1
NL,2016,60.3
NL,2017,60.0
NL,2018,59.2
NL,2019,61.0
NL,2020,61.1
NL,2021,60.3
NO,2004,65.6
NO,2005,65.2
NO,2006,64.6
NO,2007,66.3
NO,2008,69.5
NO,2009,68.4
NO,2010,69.9
NO,2011,75.1
NO,2012,71.3
NO,2013,70.0
NO,2014,71.1
NO,2015,70.4
NO,2016,69.9
NO,2017,70.9
NO,2018,70.4
NO,2019,69.8
NO,2020,68.6
PL,2005,64.0
PL,2006,60.6
PL,2007,59.5
PL,2008,60.8
PL,2009,60.4
PL,2010,60.4
PL,2011,61.1
PL,2012,61.0
PL,2013,61.0
PL,2014,61.3
PL,2015,61.6
PL,2016,62.9
PL,2017,62.0
PL,2018,62.4
PL,2019,62.5
PL,2020,62.3
PL,2021,62.6
PT,2004,53.9
PT,2005,57.8
PT,2006,59.0
PT,2007,58.2
PT,2008,58.4
PT,2009,57.3
PT,2010,58.0
PT,2011,59.6
PT,2012,63.6
PT,2013,63.0
PT,2014,56.9
PT,2015,56.5
PT,2016,58.6
PT,2017,58.5
PT,2018,58.6
PT,2019,59.2
PT,2020,59.7
PT,2021,58.3
RO,2007,61.4
RO,2008,61.5
RO,2009,60.7
RO,2010,57.4
RO,2011,57.5
